version,best_mismatch_epoch,mismatch_vs_fp32,agreement_vs_fp32,pixel_accuracy,mean_iou,clear_iou,thick_cloud_iou,thin_cloud_iou,cloud_shadow_iou,best_iou_epoch,best_mean_iou,checkpoint,checkpoint_exists,result_file
v14,8,0.1715691375732422,0.8284308624267578,0.7947838592529297,0.6166521710135813,0.7405236839157135,0.7436791423488959,0.3612866954916835,0.6211191622980323,2,0.618271204452658,qat\checkpoints\qat_int8_v14_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v14_training.json
v18,3,0.17191299438476562,0.8280870056152344,0.7948977661132812,0.6170334194931255,0.7404220017828381,0.7419758205125928,0.365725185690853,0.6200106699862179,1,0.6176591840693478,qat\checkpoints\qat_int8_v18_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v18_training.json
v17,6,0.17214706420898437,0.8278529357910156,0.7933831787109376,0.6144143876869387,0.7388248928542563,0.7441642799218654,0.3590376046365213,0.6156307733351118,3,0.6169432666626526,qat\checkpoints\qat_int8_v17_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v17_training.json
v29,2,0.17219566345214843,0.8278043365478516,0.7962799835205078,0.6181349033031638,0.7419598697944128,0.7450601986822594,0.36008523975457113,0.6254343049814117,2,0.6181349033031638,qat\checkpoints\qat_int8_v29_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v29_training.json
v21,2,0.17227828979492188,0.8277217102050781,0.7943805694580078,0.6165183583739879,0.7390820161506579,0.7463685929447113,0.35736004602215515,0.6232627783784273,1,0.6170409085178719,qat\checkpoints\qat_int8_v21_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v21_training.json
v13,5,0.17230064392089844,0.8276993560791015,0.7953376007080079,0.6180297982889141,0.740530897650559,0.7438864363916616,0.3576334741098797,0.6300683850035561,1,0.6180781096515713,qat\checkpoints\qat_int8_v13_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v13_training.json
v19,3,0.17244529724121094,0.8275547027587891,0.7952793121337891,0.6175270682128294,0.7402896918628201,0.7439004156047856,0.36006789565072733,0.6258502697329849,3,0.6175270682128294,qat\checkpoints\qat_int8_v19_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v19_training.json
v26,1,0.1728648376464844,0.8271351623535156,0.7937106323242188,0.6168464164665584,0.7377326035923069,0.7458698538568078,0.354450400496522,0.629332807920597,1,0.6168464164665584,qat\checkpoints\qat_int8_v26_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v26_training.json
v22,4,0.1728667449951172,0.8271332550048828,0.795540542602539,0.6163632221207165,0.7421758105032422,0.7427821024476894,0.3578321535542289,0.6226628219777056,4,0.6163632221207165,qat\checkpoints\qat_int8_v22_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v22_training.json
v25,2,0.17295578002929687,0.8270442199707031,0.7939738464355469,0.6160264875532693,0.7382875454621165,0.7470203995797516,0.355387465027784,0.623410540143425,2,0.6160264875532693,qat\checkpoints\qat_int8_v25_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v25_training.json
v23,3,0.17383163452148437,0.8261683654785157,0.7935133361816407,0.6158893071636007,0.7361428141388044,0.7470581134510679,0.3567257068207804,0.6236305942437498,3,0.6158893071636007,qat\checkpoints\qat_int8_v23_best.pth,True,qat\results\exploration_v10_v29\qat_int8_v23_training.json
v2,2,0.17528457641601564,0.8247154235839844,0.7929115295410156,0.6138894186627333,0.7402334532808449,0.7390748937854825,0.3556550426195563,0.6205942849650493,2,0.6138894186627333,qat\checkpoints\qat_int8_v2_best.pth,True,qat\results\qat_int8_v2_training.json
